0	726
1	725
2	784
3	861
4	561
5	718
6	696
7	559
8	260
9	710
10	361
11	686
12	793
13	563
14	729
15	864
16	729
17	488
18	761
19	390
20	773
21	614
22	301
23	658
24	806
25	721
26	803
27	817
28	806
29	662
30	551
31	232
32	739
33	928
34	342
35	250
36	841
37	690
38	657
39	350
40	753
41	151
42	611
43	785
44	406
45	897
46	192
47	575
48	299
49	501
50	692
51	908
52	228
53	627
54	737
55	139
56	644
57	496
58	594
59	710
60	215
61	654
62	548
63	367
64	612
65	656
66	416
67	538
68	638
69	642
70	655
71	779
72	808
73	724
74	689
75	877
76	564
77	804
78	485
79	637
80	522
81	893
82	649
83	903
84	132
85	345
86	508
87	556
88	566
89	877
90	414
91	521
92	671
93	737
94	676
95	431
96	590
97	627
98	607
99	437
100	957
101	770
102	281
103	948
104	378
105	231
106	619
107	762
108	308
109	647
110	254
111	618
112	753
113	872
114	659
115	674
116	713
117	717
118	816
119	547
120	431
121	631
122	810
123	766
124	779
125	583
126	517
127	625
128	317
129	498
130	949
131	374
132	493
133	866
134	757
135	446
136	704
137	779
138	789
139	618
140	890
141	473
142	419
143	702
144	590
145	247
146	616
147	185
148	671
149	670
150	521
151	932
152	396
153	681
154	399
155	574
156	434
157	306
158	518
159	437
160	548
161	856
162	611
163	688
164	267
165	402
166	511
167	478
168	569
169	774
170	429
171	348
172	182
173	612
174	476
175	396
176	752
177	447
178	624
179	400
180	174
181	546
182	768
183	832
184	344
185	852
186	523
187	579
188	886
189	781
190	441
191	719
192	863
193	547
194	469
195	487
196	373
197	514
198	640
199	709
200	686
201	707
202	428
203	179
204	682
205	916
206	617
207	282
208	897
209	584
210	643
211	776
212	623
213	671
214	563
215	911
216	175
217	864
218	343
219	682
220	689
221	327
222	964
223	333
224	585
225	606
226	598
227	546
228	420
229	598
230	622
231	730
232	332
233	895
234	666
235	593
236	846
237	338
238	689
239	684
240	809
241	414
242	704
243	343
244	509
245	233
246	545
247	646
248	351
249	563
250	859
251	916
252	294
253	485
254	616
255	645
256	416
257	696
258	711
259	633
260	771
261	673
262	832
263	438
264	229
265	589
266	666
267	889
268	728
269	654
270	727
271	706
272	705
273	877
274	313
275	678
276	282
277	647
278	513
279	574
280	951
281	636
282	824
283	486
284	291
285	708
286	560
287	714
288	611
289	890
290	157
291	657
292	647
293	467
294	411
295	781
296	883
297	485
298	637
299	417
300	562
301	696
302	571
303	754
304	275
305	494
306	474
307	576
308	436
309	735
310	776
311	754
312	332
313	317
314	465
315	587
316	615
317	210
318	158
319	740
320	225
321	653
322	774
323	561
324	653
325	720
326	403
327	612
328	457
329	430
330	353
331	668
332	588
333	697
334	566
335	351
336	428
337	196
338	159
339	774
340	481
341	404
342	485
343	881
344	904
345	118
346	562
347	572
348	758
349	392
350	947
351	325
352	245
353	834
354	510
355	787
356	469
357	468
358	565
359	548
360	386
361	301
362	701
363	684
364	599
365	288
366	560
367	531
368	596
369	618
370	590
371	733
372	567
373	786
374	618
375	922
376	572
377	843
378	688
379	410
380	133
381	188
382	735
383	362
384	408
385	839
386	751
387	560
388	315
389	945
390	433
391	908
392	465
393	397
394	781
395	487
396	918
397	327
398	808
399	462
400	378
401	284
402	666
403	481
404	737
405	811
406	308
407	637
408	531
409	736
410	577
411	141
412	581
413	714
414	556
415	930
416	395
417	493
418	830
419	568
420	175
421	876
422	162
423	788
424	663
425	270
426	698
427	834
428	975
429	911
430	768
431	509
432	850
433	789
434	753
435	204
436	635
437	392
438	701
